"44_0000_00","223232002","01602479"
"44_0000_00","223345007","01603407"
"44_0000_00","223345003","01603407"
"44_0000_00","223331001","01603407"
"44_0000_00","223345006","01603437"
"44_0000_00","223345002","01603437"
"44_0000_00","223432015","01604417"
"44_0000_00","223432010","01604422"
"44_0000_00","223432001","01604437"
"44_0000_00","223432005","01604455"
"44_0000_00","223432008","01604459"
"44_0000_00","223432009","01604464"
"44_0000_00","223432002","01604470"
"44_0000_00","223431001","01604483"
"44_0000_00","223432006","01604488"
"44_0000_00","223545016","01605151"
"44_0000_00","223545015","01605151"
"44_0000_00","223545002","01605151"
"44_0000_00","223503015","01605151"
"44_0000_00","223545013","01605157"
"44_0000_00","223545005","01605157"
"44_0000_00","223831001","01608421"
"44_0000_00","223845004","01608467"
"44_0000_00","223845002","01608478"
"44_0000_00","223945001","01609433"
"44_0000_00","223932001","01609455"
"44_0000_00","224032009","01610422"
"44_0000_00","224132009","01611411"
"44_0000_00","224132008","01611416"
"44_0000_00","224132006","01611423"
"44_0000_00","224145001","01611434"
"44_0000_00","224132003","01611434"
"44_0000_00","224132002","01611456"
"44_0000_00","224132005","01611467"
"44_0000_00","224132007","01611478"
"44_0000_00","224132004","01611489"
"44_0000_00","224232005","01612426"
"44_0000_00","224232003","01612426"
"44_0000_00","224232001","01612426"
"44_0000_00","224232002","01612459"
"44_0000_00","224232004","01612481"
"44_0000_00","224432007","01613428"
"44_0000_00","224432004","01613474"
"44_0000_00","224432005","01613488"
"44_0000_00","223545012","01605406"
"44_0000_00","223545008","01605420"
"44_0000_00","223545014","01605436"
"44_0000_00","223545011","01605436"
"44_0000_00","223545007","01605452"
"44_0000_00","223545010","01605456"
"44_0000_00","223545003","01605461"
"44_0000_00","223545006","01605483"
"44_0000_00","223545009","01605494"
"44_0000_00","223645002","01606411"
"44_0000_00","223632007","01606411"
"44_0000_00","223632006","01606422"
"44_0000_00","223645003","01606433"
"44_0000_00","223645001","01606455"
"44_0000_00","223645004","01606477"
"44_0000_00","223731001","01607405"
"44_0000_00","223732002","01607411"
"","123101123","01600000"
"11_1111_11","123102123","01600000"
"99_9999_00","777701555","01601000"
"44_0000_00","223132017","01601402"
"44_0000_00","223132005","01601408"
"44_0000_00","223132013","01601417"
"44_0000_00","223132001","01601420"
"44_0000_00","223132009","01601432"
"44_0000_00","223132003","01601432"
"44_0000_00","223132012","01601464"
"44_0000_00","223132002","01601468"
"44_0000_00","223132016","01601485"
"44_0000_00","223232004","01602407"
"44_0000_00","223231001","01602407"
"44_0000_00","223232003","01602423"
"44_0000_00","223245001","01602446"
"44_0000_00","223232006","01602457"
"44_0000_00","224545007","01629474"
"44_0000_00","224532001","01629480"
"44_0000_00","224545003","01629493"
"44_0000_00","224545001","01629496"
"44_0000_00","226145012","01630412"
"44_0000_00","226145006","01630432"
"44_0000_00","226145002","01630437"
"44_0000_00","226145004","01630455"
"44_0000_00","226145005","01630460"
"44_0000_00","226145003","01630460"
"44_0000_00","226145001","01630460"
"44_0000_00","226145017","01630464"
"44_0000_00","226145008","01630473"
"44_0000_00","226145014","01630482"
"44_0000_00","226145009","01630490"
"44_0000_00","226232003","01631456"
"44_0000_00","226231001","01631456"
"44_0000_00","226232002","01631467"
"44_0000_00","226345007","01632416"
"44_0000_00","226345008","01632420"
"44_0000_00","226345002","01632422"
"44_0000_00","226345005","01632425"
"44_0000_00","226345003","01632434"
"44_0000_00","226345006","01632442"
"44_0000_00","226345001","01632449"
"44_0000_00","226345009","01632472"
"44_0000_00","226332001","01632494"
"44_0000_00","226345004","01632497"
"44_0000_00","226445001","01633407"
"44_0000_00","226445002","01633414"
"44_0000_00","226432005","01633423"
"44_0000_00","226432004","01633434"
"44_0000_00","226432003","01633440"
"44_0000_00","226432002","01633446"
"44_0000_00","226431001","01633457"
"44_0000_00","220645003","01614101"
"44_0000_00","220645007","01614422"
"44_0000_00","220645005","01614433"
"44_0000_00","220645004","01614444"
"44_0000_00","220645010","01614466"
"44_0000_00","220645009","01614477"
"44_0000_00","224632005","01615409"
"44_0000_00","224645002","01615414"
"44_0000_00","224645003","01615427"
"44_0000_00","224632001","01615427"
"44_0000_00","224632007","01615435"
"44_0000_00","224645004","01615457"
"44_0000_00","224745002","01616101"
"44_0000_00","220745008","01616101"
"44_0000_00","220745006","01616101"
"44_0000_00","220745003","01616101"
"44_0000_00","220745002","01616101"
"44_0000_00","224745005","01616404"
"44_0000_00","224745003","01616417"
"44_0000_00","224731001","01616437"
"44_0000_00","224745007","01616461"
"44_0000_00","224745006","01616473"
"44_0000_00","224745001","01616482"
"44_0000_00","224845007","01617412"
"44_0000_00","224845006","01617420"
"44_0000_00","224845010","01617424"
"44_0000_00","224845005","01617424"
"44_0000_00","224845009","01617435"
"44_0000_00","224845001","01617437"
"44_0000_00","224845008","01617446"
"44_0000_00","224845002","01617468"
"44_0000_00","224932006","01618406"
"44_0000_00","224932001","01618434"
"44_0000_00","224932004","01618460"
"44_0000_00","225045003","01619407"
"44_0000_00","225045001","01619423"
"44_0000_00","225145008","01620412"
"44_0000_00","225145003","01620417"
"44_0000_00","225145004","01620424"
"44_0000_00","225131001","01620430"
"44_0000_00","225145001","01620442"
"44_0000_00","225145002","01620448"
"44_0000_00","225145005","01620470"
"44_0000_00","225145006","01620481"
"44_0000_00","225231002","01621412"
"44_0000_00","225245001","01621418"
"44_0000_00","225245002","01621424"
"44_0000_00","225231001","01621430"
"44_0000_00","225245004","01621436"
"44_0000_00","225245006","01621442"
"44_0000_00","225245003","01621448"
"44_0000_00","225345001","01622444"
"44_0000_00","225332011","01622460"
"44_0000_00","225332005","01622460"
"44_0000_00","225332001","01622466"
"44_0000_00","225332004","01622477"
"44_0000_00","225445002","01623422"
"44_0000_00","225445001","01623438"
"44_0000_00","225645001","01623444"
"44_0000_00","225431001","01623466"
"44_0000_00","225645002","01623488"
"44_0000_00","225532004","01624407"
"44_0000_00","225532001","01624423"
"44_0000_00","225532005","01624457"
"44_0000_00","225632017","01625101"
"44_0000_00","225632013","01625409"
"44_0000_00","225632006","01625417"
"44_0000_00","225632007","01625434"
"44_0000_00","225632009","01625440"
"44_0000_00","225632002","01625466"
"44_0000_00","225632011","01625473"
"44_0000_00","225632003","01625484"
"44_0000_00","225632010","01625495"
"44_0000_00","225705004","01626406"
"44_0000_00","225705014","01626412"
"44_0000_00","225705006","01626424"
"44_0000_00","225705011","01626429"
"44_0000_00","225705012","01626434"
"44_0000_00","225705003","01626437"
"44_0000_00","225705001","01626442"
"44_0000_00","225731001","01626449"
"44_0000_00","225705009","01626449"
